PlayerID,PlayerName,FantasyTeam,Status,InjuryStatus,Positions,ProTeam,ProjectedPoints,2024_TotalPoints,2024_AvgPoints,PercentOwned,PercentStarted,PercentChange
4427366,Breece Hall,Free Agent,FREEAGENT,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",NYJ,200.94395034,212.9,13.306250000000002,95.44261048840684,66.89577979915816,-0.0545873868711908
3052587,Baker Mayfield,,ONTEAM,ACTIVE,"QB, OP, Bench, IR",TB,288.94491687,345.8,20.341176470588238,95.20778649216844,78.56330031683912,0.9745392507677906
3915189,Roquan Smith,Free Agent,FREEAGENT,ACTIVE,"LB, DP, Bench, IR",BAL,111.89192872,127.5,7.96875,95.16051170649288,87.66594255370505,1.346319362888778
4429615,Zay Flowers,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",BAL,195.30143531,173.0,10.176470588235293,94.73151352942001,62.88237602118745,0.7451007610215754
3915416,DJ Moore,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",CHI,194.27420016,189.6,11.15294117647059,94.61698665456896,62.20627878095731,0.4237466793144762
3124005,Zaire Franklin,Free Agent,FREEAGENT,QUESTIONABLE,"LB, DP, Bench, IR",IND,131.99534747,168.0,9.882352941176471,94.43639874487087,87.30388607289404,1.439199865319054
-16016,Vikings D/ST,Free Agent,FREEAGENT,,"D/ST, Bench, IR",MIN,170.59469033,177.1,10.41764705882353,93.69652293618722,85.15102802078245,1.1059194433280908
4428331,Rashee Rice,,ONTEAM,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",KC,154.1217772,55.9,13.975000000000001,93.38241347479345,50.126378736843215,1.3475676826084424
4685415,Travis Hunter,Free Agent,FREEAGENT,QUESTIONABLE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR, CB, DB, DP",JAX,206.38721546,,,93.0765943884252,31.903354266120754,-0.1448119336142213
4035538,David Montgomery,Free Agent,FREEAGENT,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",DET,195.32631789,203.72,14.551428571428572,92.83429672447014,55.6509020844281,0.7399930213288286
